取引先CD,取引先名1,営業担当者CD,営業担当者名,集計項目CD,集計項目名
000900,株式会社 Dﾏｲﾙｽ,000004,山本,000003,C（解体）
000901,株式会社 ｲｲﾀﾞ工業,000004,山本,000003,C（解体）
000902,株式会社HAND,000004,山本,000002,B（残置）
000903,株式会社雄飛,000004,山本,000003,C（解体）
000904,株式会社TWC,000004,山本,000003,C（解体）
000905,株式会社舞浜企画,000004,山本,000003,C（解体）
000906,gf.K 株式会社,000004,山本,000002,B（残置）
000907,三浦総業株式会社,000004,山本,000003,C（解体）
000908,株式会社ﾌﾟﾗｲﾏﾙｳﾞｪﾆｭｰ,000004,山本,000002,B（残置）
000909,株式会社鈴鹿,000004,山本,000004,D（建設）
000910,龍建工業株式会社,000004,山本,000003,C（解体）
000911,株式会社TRANS-K,000004,山本,000003,C（解体）
000912,株式会社相新工業,000004,山本,000003,C（解体）
000913,柳田運輸株式会社,000004,山本,000002,B（残置）
000914,みなと開発株式会社,000004,山本,000003,C（解体）
000915,株式会社ARCH,000004,山本,000002,B（残置）
000916,株式会社鎌奥工務店,000007,小林,000004,D（建設）
000917,株式会社ｴｽｳﾞｲｴｽ,000004,山本,000002,B（残置）
000918,日本ﾃﾚﾋﾞ放送網株式会社,000004,山本,000002,B（残置）
000919,合同会社ﾃｨｰｴｰ運送,000004,山本,000004,D（建設）
000920,株式会社ﾀﾏｺｰﾎﾟﾚｰｼｮﾝ,000004,山本,000003,C（解体）
000921,株式会社MSK,000004,山本,000002,B（残置）
000922,吉興業合同会社,000004,山本,000003,C（解体）
000923,石福金属興業株式会社,000004,山本,000002,B（残置）
000924,株式会社ﾌﾟﾛｸﾞﾚｽ,000004,山本,000002,B（残置）
000925,株式会社新型ｺﾛﾅ対策,000004,山本,000002,B（残置）
000926,株式会社光工務店,000004,山本,000004,D（建設）
000927,住べｼｰﾄ防水株式会社,000004,山本,000004,D（建設）
000928,株式会社ｼｪﾉﾝﾋﾞｰ,000004,山本,000002,B（残置）
000929,株式会社ｼﾞｪｲｱｰﾙ東日本企画,000004,山本,000002,B（残置）
000930,株式会社根本建設工業,000004,山本,000003,C（解体）
000931,新日本建設株式会社,000004,山本,000004,D（建設）
000932,株式会社ｴﾄﾞｻｰﾋﾞｽ,000007,小林,000003,C（解体）
000933,ｸﾘｴｲｼｮﾝ,000007,小林,000002,B（残置）
000934,株式会社ﾏﾙﾐﾔ社,000002,渡辺,000002,B（残置）
000935,ﾘｻｲｸﾙｼｮｯﾌﾟ 生活快館ﾗﾗ,000005,今村（紀）,000002,B（残置）
000936,株式会社ｶﾜｻｷ,000007,小林,000002,B（残置）
000937,興南貿易 株式會社,000007,小林,000002,B（残置）
000938,津波古運送,000002,渡辺,000003,C（解体）
000939,株式会社永田興業,000007,小林,000002,B（残置）
000940,株式会社ｻﾝｽﾞ 本社,000007,小林,000002,B（残置）
000941,株式会社大野新総研,000007,小林,000002,B（残置）
000942,株式会社ｴﾆｼｯｸ,000007,小林,000002,B（残置）
000943,鈴木環境有限会社,000002,渡辺,000004,D（建設）
000944,株式会社ｱｰｸｴｰｽ,000007,小林,000002,B（残置）
000945,有限会社小倉商店,000005,今村（紀）,000002,B（残置）
000946,株式会社環境企画,000007,小林,000002,B（残置）
000947,ARS,000007,小林,000003,C（解体）
000948,株式会社ｱｽｸﾜｰｸｽ,000006,川部,000004,D（建設）
000949,ｹｲﾖｰｶﾞｰﾍﾞｯﾁﾞ,000002,渡辺,000004,D（建設）
000950,ｱｰﾙﾂｰ,000006,川部,000002,B（残置）
000951,有限会社ｵｶﾞﾀ･ｸﾞﾙｰﾌﾟ ﾘｻｲｸﾙｼｮｯﾌﾟ宝山,000005,今村（紀）,000002,B（残置）
000952,リサイクルショップらやね,000007,小林,000002,B（残置）
000953,くまねこ堂,000007,小林,000002,B（残置）
000955,有限会社ｶﾓﾐｰﾙ,000007,小林,000002,B（残置）
000956,株式会社ｱｽｸｹﾞｰﾄﾄﾗｽﾄ,000007,小林,000002,B（残置）
000957,御用聞き 小井川 崇康,000005,今村（紀）,000002,B（残置）
000958,株式会社ﾜｲ･ｲｰ･ｻｰﾋﾞｽ,000005,今村（紀）,000002,B（残置）
000959,株式会社平野商会,000007,小林,000002,B（残置）
000960,株式会社ｽｽﾞｴｲ,000007,小林,000002,B（残置）
000961,株式会社東京自動車総合ｻｰﾋﾞｽ,000007,小林,000002,B（残置）
000962,株式会社成昇,000002,渡辺,000005,E（中・積)
000963,信栄実業株式会社,000002,渡辺,000004,D（建設）
000964,ﾍﾟﾙﾓﾋﾞｰﾙ株式会社,000007,小林,000002,B（残置）
000965,銀座急送株式会社,000002,渡辺,000002,B（残置）
000966,有限会社R企画,000005,今村（紀）,000004,D（建設）
000967,株式会社三美社,000002,渡辺,000001,A（事業）
000968,有限会社朝倉商店,000002,渡辺,000001,A（事業）
000969,東日本ﾊｲｳｪｲ株式会社,000002,渡辺,000001,A（事業）
000970,江東区役所,000007,小林,000006,F（他）
000971,有限会社ｱﾝﾃﾞｽ,000002,渡辺,000004,D（建設）
000972,三興運輸株式会社,000007,小林,000002,B（残置）
000973,鐵光商事株式会社,000007,小林,000002,B（残置）
000974,東運輸株式会社,000005,今村（紀）,000002,B（残置）
000975,株式会社ﾄｯﾌﾟ,000002,渡辺,000004,D（建設）
000976,株式会社ﾄﾞﾙﾌｨﾝKOTO,000002,渡辺,000001,A（事業）
000977,ﾏｺﾄ船具株式会社,000005,今村（紀）,000006,F（他）
000978,ｽｶﾗ有限会社,000002,渡辺,000003,C（解体）
000979,株式会社ﾎｿﾔ,000005,今村（紀）,000001,A（事業）
000980,ｾｲｺｰ産業東京株式会社,000006,川部,000004,D（建設）
000981,株式会社沖野,000007,小林,000003,C（解体）
000982,株式会社丸升商店,000005,今村（紀）,000001,A（事業）
000983,株式会社国分商会,000008,新木場工場,,
000984,青木環境事業株式会社,000008,新木場工場,,
000985,株式会社福ﾏﾙ,000008,新木場工場,,
000986,株式会社関商店,000008,新木場工場,,
000987,西部ｻｰﾋﾞｽ株式会社,000008,新木場工場,,
000988,有限会社ｱﾙﾌｧﾌｫﾙﾑ,000008,新木場工場,,
000989,澤希運輸有限会社,000008,新木場工場,,
000990,新潟環境開発株式会社,000008,新木場工場,,
000991,新洋株式会社,000008,新木場工場,,
000992,杉田建材株式会社,000008,新木場工場,,
000993,日軽物流株式会社,000008,新木場工場,,
000994,株式会社ﾔﾏﾄ,000008,新木場工場,,
000995,株式会社ｱｸﾄﾘｰ,000008,新木場工場,,
000996,ﾔﾏﾄﾌﾟﾛﾃｯｸ株式会社,000008,新木場工場,,
000997,ﾌﾙﾊｼEPO株式会社,000008,新木場工場,,
000998,ｴｺｼｽﾃﾑｼﾞｬﾊﾟﾝ株式会社,000008,新木場工場,,
000999,ｴｺｼｽﾃﾑ秋田株式会社,000008,新木場工場,,
001000,東京ｷﾘﾝﾋﾞﾊﾞﾚｯｼﾞｻｰﾋﾞｽ株式会社,000002,渡辺,000006,F（他）
001001,株式会社ﾀｹｴｲﾒﾀﾙ,000008,新木場工場,,
001002,株式会社森づくり,000008,新木場工場,,
001003,木材開発株式会社,000008,新木場工場,,
001004,株式会社浜屋,000004,山本,000002,B（残置）
001005,MDﾛｼﾞｽﾌｨｰﾙﾄﾞｻｰﾋﾞｽ㈱ 江東,000008,新木場工場,,
001006,岡山県貨物運送株式会社,000008,新木場工場,,
001007,株式会社見晴台環境,000008,新木場工場,,
001008,太平洋ｾﾒﾝﾄ株式会社,000008,新木場工場,,
001009,鴻祥興業株式会社,000008,新木場工場,,
001010,株式会社日豊化学,000008,新木場工場,,
001011,株式会社ｴｺ･ﾏｲﾆﾝｸﾞ,000008,新木場工場,,
001012,株式会社ｴｺﾗｲﾝ,000008,新木場工場,,
001013,株式会社KAIXIA,000008,新木場工場,,
001014,株式会社DC環境ｻｰﾋﾞｽ,000008,新木場工場,,
001015,三友ﾌﾟﾗﾝﾄｻｰﾋﾞｽ株式会社,000008,新木場工場,,
001016,株式会社CPFｴﾅｼﾞｰ 京都管理本部,000008,新木場工場,,
001017,株式会社KKK,000008,新木場工場,,
001018,株式会社丸幸,000008,新木場工場,,
001019,BSE株式会社,000007,小林,000003,C（解体）
001020,株式会社ﾌｫｰﾒｰｼｮﾝ,000007,小林,000002,B（残置）
001021,株式会社ｵﾈｽﾄ･ﾜﾝ,000011,オネスト・ワン,000002,B（残置）
001022,株式会社ｻﾝ･ﾃｸﾉ,000012,サン・テクノ,000006,F（他）
001023,株式会社KNS,000012,サン・テクノ,000002,B（残置）
001024,株式会社ｴｽ･ﾃﾞｨｰ･ｴｽ,000012,サン・テクノ,000004,D（建設）
001025,有限会社志賀興業,000012,サン・テクノ,000003,C（解体）
001026,株式会社真田,000012,サン・テクノ,000003,C（解体）
001027,有限会社大類商事,000012,サン・テクノ,000003,C（解体）
001028,株式会社佐藤土建,000012,サン・テクノ,000003,C（解体）
001029,株式会社ｶﾐﾑﾗ,000012,サン・テクノ,000004,D（建設）
001030,株式会社丸伍産業,000012,サン・テクノ,000004,D（建設）
001031,上村,000012,サン・テクノ,000004,D（建設）
001032,有限会社平成空調工業,000012,サン・テクノ,000004,D（建設）
001033,株式会社ﾘｶﾊﾞﾘｰ,000012,サン・テクノ,000002,B（残置）
001034,株式会社SUR,000012,サン・テクノ,000002,B（残置）
001035,株式会社ﾊﾟｰﾄﾅｰｽﾞﾌｫｰ,000012,サン・テクノ,000002,B（残置）
001036,eagerise合同会社,000012,サン・テクノ,000002,B（残置）
001037,ﾋﾞｸﾄﾘｰ解体工業株式会社,000012,サン・テクノ,000003,C（解体）
001038,有限会社ﾘｻｲｸﾙｽﾀｯﾌ,000012,サン・テクノ,000004,D（建設）
001039,株式会社Chez nous,000012,サン・テクノ,000002,B（残置）
001040,ﾘｻｲｸﾙﾚｽｷｭｰ,000012,サン・テクノ,000002,B（残置）
001041,株式会社はな,000012,サン・テクノ,000002,B（残置）
001042,丸喜商店,000012,サン・テクノ,000002,B（残置）
001043,ﾘｰﾄﾞ株式会社,000012,サン・テクノ,000004,D（建設）
001045,株式会社TRUTH,000012,サン・テクノ,000002,B（残置）
001046,かえる商会,000012,サン・テクノ,000002,B（残置）
001047,さっちゃん,000012,サン・テクノ,000002,B（残置）
001049,株式会社ﾌﾟﾗｲﾏﾙ,000012,サン・テクノ,000004,D（建設）
001051,有限会社高見商店,000012,サン・テクノ,000004,D（建設）
001052,株式会社Leale,000012,サン・テクノ,000002,B（残置）
001053,株式会社ｱｻｯｸｽ,000012,サン・テクノ,000002,B（残置）
001054,株式会社品川ﾎｰﾑﾃｯｸｻｰﾋﾞｽ,000012,サン・テクノ,000004,D（建設）
001055,独立行政法人 製品評価技術基盤機構,000012,サン・テクノ,000006,F（他）
001056,株式会社ﾌｨｰﾙｹﾞｰﾄ,000012,サン・テクノ,000004,D（建設）
001057,合同会社八賢興業,000012,サン・テクノ,000003,C（解体）
001058,ｼﾞｪｲｱﾝﾄﾞｴｽ保険ｻｰﾋﾞｽ株式会社,000012,サン・テクノ,000002,B（残置）
001059,有限会社しなの,000012,サン・テクノ,000003,C（解体）
001060,株式会社小林商店,000012,サン・テクノ,000002,B（残置）
001062,株式会社十興業,000012,サン・テクノ,000004,D（建設）
001063,株式会社AGOT,000012,サン・テクノ,000004,D（建設）
001064,E-Works,000012,サン・テクノ,000004,D（建設）
001066,株式会社Hero,000012,サン・テクノ,000004,D（建設）
001067,株式会社横山興業,000012,サン・テクノ,000004,D（建設）
001068,ｴｺｽﾀｲﾙ,000012,サン・テクノ,000002,B（残置）
001070,髙橋工務店株式会社,000012,サン・テクノ,000003,C（解体）
001071,有限会社八角商店,000012,サン・テクノ,000004,D（建設）
001072,ｷｰｿﾝｽﾞ株式会社,000012,サン・テクノ,000002,B（残置）
001073,株式会社ｸﾚｽﾄ城南,000012,サン・テクノ,000004,D（建設）
001074,株式会社NINFEA,000012,サン・テクノ,000004,D（建設）
001075,有限会社浜口技建,000012,サン・テクノ,000003,C（解体）
001077,ｳｴｽﾄ不用品回収ｾﾝﾀｰ,000012,サン・テクノ,000002,B（残置）
001078,株式会社輝成,000012,サン・テクノ,000004,D（建設）
001079,有限会社ﾎｰﾑﾒﾝﾃﾅﾝｽ,000012,サン・テクノ,000004,D（建設）
001080,株式会社長村紙興,000012,サン・テクノ,000004,D（建設）
001082,JA三井ﾘｰｽ株式会社,000012,サン・テクノ,000002,B（残置）
001083,JA三井ﾘｰｽｱｾｯﾄ株式会社,000012,サン・テクノ,000002,B（残置）
001084,協同住宅ﾛｰﾝ株式会社,000012,サン・テクノ,000002,B（残置）
001085,ｱｻﾋﾃﾞｨﾘﾊﾞﾘｰ株式会社,000012,サン・テクノ,000002,B（残置）
001086,有限会社藤野商店,000012,サン・テクノ,000004,D（建設）
001087,東亜物流株式会社,000012,サン・テクノ,000002,B（残置）
001088,山中建物総合管理,000007,小林,000003,C（解体）
001089,JNCｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社,000004,山本,000004,D（建設）
001090,株式会社日清機械,000012,サン・テクノ,000006,F（他）
001091,増島ｴｱｰｻｰﾋﾞｽ株式会社,000006,川部,000004,D（建設）
001092,ｺﾞﾌｫﾜｰﾄﾞ,000012,サン・テクノ,000004,D（建設）
001093,中盛株式会社,000004,山本,000003,C（解体）
001094,株式会社ﾀｸﾏ,000004,山本,000004,D（建設）
001095,ｾﾞﾝﾃﾘｱ株式会社,000007,小林,000003,C（解体）
001096,公認会計士税理士　半澤浩事務所,000007,小林,000002,B（残置）
001097,株式会社ｼｮｯﾌﾟﾃﾞｻﾞｲﾝ,000007,小林,000002,B（残置）
001098,まほろ堂商店,000012,サン・テクノ,000004,D（建設）
001099,株式会社SMART,000012,サン・テクノ,000002,B（残置）
001100,雲龍工業株式会社,000007,小林,000003,C（解体）
001101,友信株式会社,000007,小林,000003,C（解体）
001102,ﾘｰﾃﾞｨﾝｸﾞ株式会社,000012,サン・テクノ,000002,B（残置）
001103,株式会社ﾀｶｻｺﾞ,000007,小林,000002,B（残置）
001104,株式会社東海運輸,000002,渡辺,000005,E（中・積)
001105,有限会社ﾏﾁﾀﾞ工業,000005,今村（紀）,000003,C（解体）
001106,株式会社ｴﾑｴﾑｱﾝﾄﾞﾆｰｸ,000007,小林,000002,B（残置）
001107,株式会社ﾗｲﾌｻｰﾋﾞｽｼﾞｬﾊﾟﾝ,000012,サン・テクノ,000002,B（残置）
001108,株式会社538,000002,渡辺,000002,B（残置）
001109,ｱｰﾄｸﾞﾘｰﾝ株式会社,000004,山本,000002,B（残置）
001110,東和設備ｻｰﾋﾞｽ株式会社,000006,川部,000004,D（建設）
001111,ﾘﾊﾞｿﾙ合同会社,000012,サン・テクノ,000002,B（残置）
001112,ﾔﾏｻﾞｷｼｰﾙｱﾝﾄﾞﾊﾟｯｹｰｼﾞ,000007,小林,000002,B（残置）
001113,便利屋ﾐﾔﾅﾐ株式会社,000012,サン・テクノ,000002,B（残置）
001114,ｸﾘｰﾝｱｼｽﾄ,000012,サン・テクノ,000002,B（残置）
001115,株式会社青沼ﾗｲﾌｻﾎﾟｰﾄ,000012,サン・テクノ,000002,B（残置）
001116,株式会社YMS,000012,サン・テクノ,000004,D（建設）
001117,atomic株式会社,000012,サン・テクノ,000004,D（建設）
001118,便利屋ﾌｧﾐﾘｰ江東木場店,000012,サン・テクノ,000002,B（残置）
001119,東起業株式会社,000006,川部,000002,B（残置）
001120,化工建設株式会社,000005,今村（紀）,000004,D（建設）
001121,有限会社ﾌﾗｯﾌﾟ,000006,川部,000002,B（残置）
001122,株式会社AffectRise,000011,オネスト・ワン,000006,F（他）
001123,KC International Japan 株式会社,000002,渡辺,000006,F（他）
001124,株式会社　日比谷松本楼,000002,渡辺,000006,F（他）
001125,株式会社ﾈｸｽﾄｹﾞｰﾄ,000007,小林,000002,B（残置）
001126,株式会社IMｺｰﾎﾟﾚｰｼｮﾝ,000007,小林,000002,B（残置）
001127,有限会社ﾓﾘｵｶ電気,000007,小林,000002,B（残置）
001128,SMART COLLECT,000007,小林,000002,B（残置）
001129,株式会社moderate21,000007,小林,000002,B（残置）
001130,株式会社川口組,000007,小林,000003,C（解体）
001131,ﾅｼﾞｺｲｰｴｽ株式会社,000007,小林,000002,B（残置）
001132,合同会社AMUU,000007,小林,000003,C（解体）
001133,有限会社ﾀﾐﾔﾎｰﾑ,000007,小林,000003,C（解体）
001134,HOPE株式会社,000007,小林,000003,C（解体）
001135,歯科室thebrush,000007,小林,000002,B（残置）
001136,株式会社天海建設,000007,小林,000002,B（残置）
001137,株式会社GKｻｰﾋﾞｽ,000007,小林,000003,C（解体）
001138,東京大学駒場祭委員会,000007,小林,000006,F（他）
001139,SUL株式会社,000007,小林,000002,B（残置）
001140,成城フードサービス,000007,小林,000002,B（残置）
001141,株式会社PTB,000007,小林,000002,B（残置）
001142,東京品川リサイクルセンター,000007,小林,000002,B（残置）
001143,誠信工業,000007,小林,000003,C（解体）
001144,株式会社ｷｬﾌﾟﾃｨｿﾘｭｰｼｮﾝｽﾞ,000006,川部,000004,D（建設）
001145,株式会社ｻﾆｯｸｽひたちなか工場,000008,新木場工場,,
001146,株式会社ﾍﾞﾙ興産,000007,小林,000003,C（解体）
001147,株式会社WIT,000012,サン・テクノ,000002,B（残置）
001148,株式会社ﾋｯﾄ,000007,小林,000002,B（残置）
001149,ｲﾝｸﾘｰｽﾞ株式会社,000007,小林,000002,B（残置）
001150,皮ﾌ科早川ｸﾘﾆｯｸ,000007,小林,000002,B（残置）
001151,Creation株式会社,000002,渡辺,000002,B（残置）
001152,BAT合同会社,000007,小林,000003,C（解体）
001153,伊折商会,000006,川部,000002,B（残置）
001154,株式会社ニューズクリエイト,000007,小林,000002,B（残置）
001155,ABEGROUP,000007,小林,000003,C（解体）
001156,太陽工業株式会社,000007,小林,000003,C（解体）
001157,株式会社RAYA,000007,小林,000003,C（解体）
001159,関東空調設備株式会社,000006,川部,000004,D（建設）
001160,有限会社ｱｲｼﾝ,000005,今村（紀）,000003,C（解体）
001161,株式会社ﾌｼﾞﾃｯｸ,000006,川部,000004,D（建設）
001162,有限会社ｴﾑ・ｺｰﾎﾟﾚｰｼｮﾝ,000006,川部,000004,D（建設）
001163,美健ｻｰﾋﾞｽ,000005,今村（紀）,000003,C（解体）
001164,ｴﾙﾃ大塚ｸﾘﾆｯｸ,000007,小林,000002,B（残置）
001165,金山工業株式会社,000006,川部,000003,C（解体）
001166,合同会社NEXUSﾑｰﾋﾞﾝｸﾞ,000007,小林,000002,B（残置）
001167,株式会社ﾀﾞｲｺｰﾎｰﾙﾃﾞｨﾝｸﾞｽｸﾞﾙｰﾌﾟ,000007,小林,000002,B（残置）
001169,便利屋ｴｺﾄﾏﾄ,000006,川部,000002,B（残置）
001170,古川商店,000012,サン・テクノ,000002,B（残置）
001171,森内装,000005,今村（紀）,000004,D（建設）
001172,株式会社ﾄﾏｯｸ,000005,今村（紀）,000004,D（建設）
001173,千葉優太,000007,小林,000002,B（残置）
001174,株式会社ﾏｯｸｽﾎﾟｹｯﾄ,000007,小林,000002,B（残置）
001175,株式会社新々会館,000007,小林,000002,B（残置）
001176,株式会社IM3K,000002,渡辺,000003,C（解体）
001177,株式会社ﾀﾞｲﾊﾞｰｽﾞﾌﾟﾛﾜｲｽﾞ,000005,今村（紀）,000005,E（中・積)
001178,株式会社UPVillage,000005,今村（紀）,000002,B（残置）
001179,山万総合ｻｰﾋﾞｽ株式会社,000006,川部,000002,B（残置）
001180,株式会社栄伸,000012,サン・テクノ,000003,C（解体）
001181,陽恵株式会社,000006,川部,000003,C（解体）
001182,好栄工業株式会社,000004,山本,000003,C（解体）
001183,有限会社ｿｱｰ,000004,山本,000002,B（残置）
001184,ｸﾞﾘｰﾝﾜｰｸｽ,000012,サン・テクノ,000002,B（残置）
001185,日通羽田ｸﾞﾗﾝﾄﾞｻｰﾋﾞｽ株式会社,000007,小林,000002,B（残置）
001186,株式会社ﾉｰｽﾊｰﾊﾞｰ,000005,今村（紀）,000004,D（建設）
001187,株式会社小泉,000004,山本,000004,D（建設）
001188,東西化学産業株式会社,000004,山本,000001,A（事業）
001189,株式会社栗原設備,000002,渡辺,000004,D（建設）
001190,株式会社ｱｰﾄｾﾝﾀｰ,000007,小林,000002,B（残置）
001191,株式会社邉田工業,000001,矢作,000004,D（建設）
001192,金融広報中央委員会,000007,小林,000005,E（中・積)
001193,株式会社ｺﾏｹﾞﾈ,000012,サン・テクノ,000002,B（残置）
001194,株式会社ﾘﾎｰﾑｻｰﾋﾞｽさの,000002,渡辺,000004,D（建設）
001195,世紀東急工業株式会社,000007,小林,000004,D（建設）
001196,株式会社AIZAWA GROUP,000007,小林,000003,C（解体）
001197,株式会社ｹﾞｲﾄ,000006,川部,000002,B（残置）
001199,ｱｽﾞﾋﾞﾙ金門ｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社,000006,川部,000004,D（建設）
001200,渡辺工業,000006,川部,000003,C（解体）
001201,北野建設株式会社,,,,
001202,株式会社ﾚﾃﾞｨｰﾊﾞｰﾄﾞ,000007,小林,000002,B（残置）
001203,株式会社ﾐｯｸ,000004,山本,000004,D（建設）
001204,台東区おうちのﾐｶﾀ,000005,今村（紀）,000002,B（残置）
001205,株式会社ﾊｲﾗｯｸ,,,,
001206,日本建設株式会社,,,,
001208,ﾃｨｰｴｽｴﾝﾊﾞｲﾛ株式会社,,,,
001209,医療法人社団　慶順会　柏木医科ｸﾘﾆｯｸ,000007,小林,000002,B（残置）
001210,株式会社ALLvisions,000006,川部,000002,B（残置）
001211,大阪ｼｰﾘﾝｸﾞ印刷株式会社,000002,渡辺,000001,A（事業）
001212,伯東株式会社,000006,川部,000002,B（残置）
001213,有限会社　うきた解体工業,000007,小林,000003,C（解体）
001214,大成建設株式会社,,,,
001215,曙建設株式会社,000002,渡辺,000004,D（建設）
001216,株式会社Sunriko,000007,小林,000003,C（解体）
